Type: FUNCTION, Literal: function
Type: IDENT, Literal: test
Type: (, Literal: (
Type: <DATATYPE>INT, Literal: int
Type: IDENT, Literal: a
Type: ,, Literal: ,
Type: <DATATYPE>CHAR, Literal: char
Type: IDENT, Literal: c
Type: ), Literal: )
Type: {, Literal: {
Type: <BUILTIN_FUNC_OUT>, Literal: out
Type: ILLEGAL, Literal: "
Type: IDENT, Literal: hello
Type: IDENT, Literal: test
Type: ILLEGAL, Literal: "
Type: ;, Literal: ;
Type: <BUILTIN_FUNC_OUT>, Literal: out
Type: ILLEGAL, Literal: '
Type: IDENT, Literal: h
Type: ILLEGAL, Literal: '
Type: ;, Literal: ;
Type: RETURN, Literal: return
Type: FALSE, Literal: false
Type: ;, Literal: ;
Type: }, Literal: }
Type: EOF, Literal: 
